InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,TotalPrice,PaymentMethod,StoreID,ProductCategory,EmployeeID,PromotionCode
OCXSDH,HGIOO,TPZUVAGIAGXVWBPDMJJE,396,12/15/2023 02:53,96.6,15941.0,Belgium,0.26,250.53,Cash,Store_A,Category_A,RGSZX,MJQHW
HOZHST,WKAHE,,879,11/23/2023 18:52,57.7,13132.0,Belgium,0.47,137.78,Cash,Store_A,Category_A,,TTQDW
MEAYAT,,XBNPLTYYCAAEBNQNFOEI,294,05/10/2023 03:01,44.07,13595.0,Germany,0.36,27.84,Credit Card,Store_B,Category_C,USHAW,NYJFY
PPBVLA,YMINO,VSPULMKWOXPBNEMDIFFV,304,12/23/2023 18:40,28.62,,France,0.42,214.41,Online,Store_A,Category_B,RZJNO,QFSJN
ILWXVN,ESZPL,JSBKCJYZJMGWCFCEGSJL,946,06/03/2023 15:02,64.24,11629.0,Netherlands,0.06,397.08,Online,Store_B,Category_C,QUMJV,UPZJL
,EVQSU,WPQYZWQMDPCGMWJKDTJT,279,11/22/2023 04:36,48.49,10965.0,Germany,0.07,409.12,Online,Store_B,Category_C,UPBTC,GFZVK
JGEOID,MBZMA,JJWNVIIUENNTWUDRVAIU,525,03/27/2023 04:38,82.62,10557.0,France,0.15,165.19,Credit Card,Store_C,Category_C,MGMCG,IYDFY
XSBRWY,TSRVC,EHPXKHRIAMPQRWABLWWH,35,06/21/2023 01:53,90.94,19145.0,France,0.18,458.39,Credit Card,Store_C,Category_C,CESLP,SVOXY
JZIZNK,TDHJA,NYGDUWTVYMCVQSYWWUCS,488,11/26/2023 14:45,18.08,,Netherlands,0.23,6.94,Cash,Store_C,Category_B,,ZJTZO
RDZVTN,BLWFW,SVOAZWABELPHZZFEJLPB,873,05/07/2023 01:29,36.95,17453.0,United Kingdom,0.49,383.48,Cash,Store_B,Category_C,YXAOV,
OCMFYG,KBLMZ,,507,01/01/2023 00:27,52.55,18103.0,United Kingdom,0.28,402.75,Credit Card,Store_A,Category_C,DARMV,LETBD
UBMRIK,NLKUJ,RHQBNVTQWEYKCQXHFMOO,320,06/15/2023 00:57,43.18,19470.0,United Kingdom,0.1,282.48,Online,Store_B,Category_B,YQYDW,
TUPGII,TOMAW,MGFJHFNYHWYFBTFCEPNL,319,07/21/2023 01:12,94.17,14260.0,Netherlands,0.36,282.23,Online,Store_B,Category_C,DWQSA,DMYBR
KRQLMF,ECFJH,RINCIDXVTVYDZYSGHGFB,3256,04/30/2023 06:50,90.82,19266.0,Belgium,0.49,354.66,Credit Card,Store_A,Category_C,QHRVI,OAJSU
WSOESA,HWOAX,BHHSFHMIEQIYRZMTBWPQ,826,06/12/2023 15:31,13.66,19256.0,Belgium,0.2,468.04,Credit Card,Store_B,Category_C,MHRVN,XGUET
RHEDLX,ZQDMV,ZCMEXJROJQAKABRCHGBR,534,07/09/2023 09:36,99.88,17067.0,United Kingdom,0.38,434.49,Online,Store_B,Category_A,ZTMIE,IIEAR
,HVUML,OBQLUHPOGCIBHAEFAMUO,347,04/02/2023 07:46,44.28,13559.0,France,0.16,386.54,Credit Card,Store_A,Category_A,KMNWU,
XVUSXU,LJGWJ,UGJURCMBEBYSQPHRVVXU,507,05/06/2023 08:47,48.67,13500.0,United Kingdom,0.4,120.41,Cash,Store_B,Category_B,QQENZ,OBQMV
GYRQPR,FMUJJ,RKMJFHENKECPKAOBMXBT,2237,01/13/2023 18:13,18.75,16879.0,Germany,0.19,159.1,Credit Card,Store_B,Category_B,KJPAJ,VBDOH
TBGQEA,IGHAH,MKKIWGHAXSMMANFLUCAP,681,04/18/2023 18:02,40.26,13652.0,France,0.3,223.5,Cash,Store_C,Category_C,ABJRK,EJNMI
GYHXGR,PZFKA,OMLJIVCECVMLZUJHVIZJ,136,12/10/2023 17:33,4.72,12148.0,France,0.09,292.32,Credit Card,Store_C,Category_A,YZSYV,ELLQX
AJRMIN,KAHRY,LUGAXNKRLRAUSEFJKREP,858,04/19/2023 16:33,95.51,17315.0,France,0.01,110.52,Credit Card,Store_A,Category_C,QXEVW,TQNMB
XFDJAW,RCOGT,EIQJUHIFUSTVSZHQYQKG,149,02/01/2023 11:31,43.3,16945.0,Belgium,0.16,72.35,Online,Store_B,Category_A,JYLFK,
EBLCES,UJLLR,NJHHDPMRRSPSEGNAYJCO,117,07/09/2023 20:02,42.13,18038.0,Belgium,0.24,261.66,Credit Card,Store_C,Category_B,OYQQY,SGXEZ
UXARJJ,,XTDGDQKFOMZOUCXSVSQT,809,08/17/2023 20:28,31.03,15771.0,France,0.22,125.21,Cash,Store_A,Category_A,IJBVZ,WOHYY
DXFFAX,BGZYB,YUDAQZURZVLHIMPWDRAD,552,10/04/2023 13:42,8.13,16804.0,Netherlands,0.08,399.09,Credit Card,Store_B,Category_A,OMNNC,KCAHC
BZODTO,EZGDR,IWLZTOFNWHCCZTUTHYUG,429,01/09/2023 09:39,4.98,16794.0,Netherlands,0.33,37.28,Credit Card,Store_A,Category_B,OBRIS,HNIOU
HJNPFJ,,GYSHOQQGKKMLKXMBMZZO,168,07/02/2023 06:02,0.85,19170.0,Germany,0.16,167.95,Online,Store_B,Category_A,,
,OGBRR,HVFBFNUWYIUCMKTZZTOA,751,06/08/2023 15:21,4.04,10146.0,United Kingdom,0.45,243.79,Cash,Store_B,Category_B,YOXCN,XMHAI
VYAZAC,,QPLSYHQGCUJLUBKLJQMY,4144,09/29/2023 19:06,63.91,10802.0,Germany,0.06,358.54,Online,Store_B,Category_C,HYTLT,KOSFU
GSWIXT,,ALJOSVSLQFHGJWFASTMD,640,06/26/2023 08:41,23.98,14528.0,United Kingdom,0.45,474.19,Cash,Store_A,Category_B,DGBCZ,AMILH
NEXMHI,OUILW,ZJISPEVZIIGZZXVYFIVO,777,10/29/2023 16:06,33.6,12593.0,Netherlands,0.18,12.57,Cash,Store_C,Category_A,,FKASA
TEBVWI,VIEAJ,YPDAKICFYSZEMEFZMBQU,718,02/12/2023 11:22,34.96,17268.0,United Kingdom,0.23,467.08,Credit Card,Store_A,Category_A,,EDGKY
MWXTTX,EISUQ,TXEDKRDDLYWZHEHQDODV,791,06/24/2023 12:38,98.64,14783.0,Belgium,0.12,403.56,Credit Card,Store_A,Category_A,MYGBN,KSCLN
TLUIBM,SUDZU,NQNYQQIZAVORLPNWDJXV,522,11/05/2023 17:08,89.16,16271.0,France,0.1,198.69,Online,Store_A,Category_A,YALNB,SAEKR
EATSBG,UIHBJ,GAIGSRPTPKFKJLGRVAYC,894,01/07/2023 18:07,49.69,16232.0,France,0.4,360.83,Cash,Store_B,Category_B,ZENJU,EEPPV
JZMJHG,ZDBAN,DLBWHAMXCHGOQGRRSETC,321,01/11/2023 01:31,48.53,19439.0,Germany,0.14,145.34,Online,Store_A,Category_B,BJNBZ,
TCUBAL,UHKSN,STCHIRDJXUGGTIJIIWJA,332,09/27/2023 15:54,96.13,13065.0,United Kingdom,0.37,260.1,Cash,Store_C,Category_A,ZJOIM,BURWK
MEGKTI,PZNCQ,,730,02/07/2023 12:30,49.58,13293.0,United Kingdom,0.3,396.74,Cash,Store_C,Category_A,SAACH,JJUFE
KALNQB,UXHAV,IFQPIYJXEDIOUHKIBZWC,887,11/07/2023 17:16,93.6,11891.0,Belgium,0.14,186.48,Online,Store_B,Category_A,UDQGA,AHGEM
XBUNPF,,FJQRFHQSBDEPUOHXIDOI,776,04/28/2023 17:56,54.83,14732.0,Netherlands,0.32,427.03,Online,Store_A,Category_C,RXLRF,KRMIF
JUFPUY,IUHUR,HOBXQFKHVFLBXDHLEUQK,659,01/04/2023 23:44,3.75,,Netherlands,0.43,200.97,Credit Card,Store_C,Category_C,,YSAWW
BPCLEQ,UKWYY,CUVOCZJNNUYZGNDLGEIR,592,12/13/2023 04:46,28.94,10769.0,Netherlands,0.17,428.56,Online,Store_B,Category_C,LFMBM,KENFZ
SFVAQL,,HHHNLCDGEKHXLTYVOZHG,984,08/04/2023 14:29,36.84,19211.0,Germany,0.24,223.08,Credit Card,Store_A,Category_B,MAJFX,EYRHG
UPCYQE,ICQCX,HKVEWSEKDAURNUDCSOPN,870,04/02/2023 04:41,9.68,12571.0,United Kingdom,0.37,258.83,Cash,Store_B,Category_B,QOFLT,IWIPO
,ZJICL,,854,04/10/2023 15:41,85.74,10420.0,France,0.27,389.62,Online,Store_B,Category_B,XEPPO,PFXQG
EHWWJV,DJVNU,NTWGBEMHKAIRYFMLSZON,232,11/11/2023 02:29,3.87,15707.0,France,0.35,90.44,Cash,Store_C,Category_B,WIFXN,ZLPZW
CPOLMI,OOZPH,BIJBHEOCPSRDLILHJBDZ,157,01/19/2023 15:49,84.78,14789.0,Netherlands,0.32,95.76,Credit Card,Store_C,Category_B,TSUVS,GKCYV
GVZTXC,,HUPMNPZBFECWCCJXDQYX,283,05/07/2023 12:43,45.37,15600.0,Netherlands,0.48,178.06,Credit Card,Store_B,Category_A,,ADQNY
HIEDSE,KVHMQ,ONDNJMUILNLOYIVWGXHD,239,09/27/2023 16:30,71.62,19861.0,Netherlands,0.44,286.25,Credit Card,Store_C,Category_B,RKDZH,BPVSO
MACIBN,,ACCJUXVMMZGFYKDMVMAU,430,05/22/2023 13:14,22.1,11657.0,Netherlands,0.47,471.95,Cash,Store_B,Category_B,,WCEGJ
QKUQUU,DWZCU,,401,05/25/2023 23:38,88.59,,France,0.35,151.25,Online,Store_B,Category_C,HWMMZ,BFAIQ
VIPRKK,LVHDX,EGWRBCPETQTZZLYVWDWM,832,10/19/2023 09:36,22.58,12826.0,France,0.5,7.2,Credit Card,Store_B,Category_C,,GDEBF
LLJTQW,AQQKP,YXDZDLRSVPFUJFVMEQYG,472,02/08/2023 21:54,16.92,18958.0,Netherlands,0.44,115.88,Credit Card,Store_A,Category_B,VFIPQ,VQYWH
ZVTZMR,FNXWV,DCJLQXUPVTJFSAVUPGNQ,208,01/02/2023 17:12,41.06,11002.0,United Kingdom,0.19,363.75,Online,Store_A,Category_B,OWOWQ,TXMAR
OTRFZW,HVRAK,MKWCKXKAGGPKVVFFRCWS,714,04/30/2023 20:21,24.9,11606.0,France,0.1,344.79,Cash,Store_A,Category_A,XIYBP,
BIJKIC,,,32,04/10/2023 00:55,80.23,12435.0,United Kingdom,0.26,298.03,Credit Card,Store_B,Category_B,IQRYC,QQZUJ
SCZKYV,SRSFK,ZHKFDZSBQLZYCGUVNAEL,780,03/06/2023 23:03,45.65,17971.0,Netherlands,0.14,332.41,Credit Card,Store_B,Category_B,VNLEL,TDNCO
YKXZXR,TIBBW,SVCFWYQXPHVMQZFSIGVZ,897,12/15/2023 16:58,27.99,,United Kingdom,0.04,263.43,Credit Card,Store_B,Category_A,XCXJZ,GDVYC
YXMMEK,,HHZDIMEDCPXTGXKQITWR,470,07/17/2023 12:03,48.02,12931.0,Germany,0.35,193.06,Online,Store_B,Category_A,JQQAD,KOWST
TWFOPQ,DFCXQ,OIDYKRKKTFATXDCGIACS,216,02/10/2023 09:22,83.9,,Belgium,0.19,350.93,Online,Store_C,Category_A,PERQA,KUPNU
,AJSXB,CNIXWNWJATXYHBDUXAJL,563,05/27/2023 08:14,52.88,13808.0,United Kingdom,0.21,203.83,Credit Card,Store_C,Category_C,JJUAY,DYDDH
SEEPVO,MULQA,ADQZDNRRCRSSXWQDIGXV,94,05/15/2023 15:20,80.87,17338.0,United Kingdom,0.3,369.71,Credit Card,Store_B,Category_C,NDHJL,NAKKB
